Ticker,Ticker,Company Name
20MICRONS,20MICRONS.NS,20 Microns Limited
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited
360ONE,360ONE.NS,360 ONE WAM LIMITED
3BBLACKBIO,3BBLACKBIO.NS,3B Blackbio Dx Limited
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited
3MINDIA,3MINDIA.NS,3M India Limited
3PLAND,3PLAND.NS,3P Land Holdings Limited
5PAISA,5PAISA.NS,5Paisa Capital Limited
63MOONS,63MOONS.NS,63 moons technologies limited
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited
AAATECH,AAATECH.NS,AAA Technologies Limited
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited
AAKASH,AAKASH.NS,Aakash Exploration Services Limited
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
AARNAV,AARNAV.NS,Aarnav Fashions Limited
AARON,AARON.NS,Aaron Industries Limited
AARTECH,AARTECH.NS,Aartech Solonics Limited
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND,AARTIIND.NS,Aarti Industries Limited
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited
AARVI,AARVI.NS,Aarvi Encon Limited
AAVAS,AAVAS.NS,Aavas Financiers Limited
ABANSENT,ABANSENT.NS,Abans Enterprises Limited
ABB,ABB.NS,ABB India Limited
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited
ABCOTS,ABCOTS.NS,A B Cotspin India Limited
ABDL,ABDL.NS,Allied Blenders and Distillers Limited
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABINFRA,ABINFRA.NS,A B Infrabuild Limited
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited
ABMKNO,ABMKNO.NS,ABM Knowledgeware Limited
ABREL,ABREL.NS,Aditya Birla Real Estate Limited
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited
ACC,ACC.NS,ACC Limited
ACCELYA,ACCELYA.NS,Accelya Solutions India Limited
ACCURACY,ACCURACY.NS,Accuracy Shipping Limited
ACE,ACE.NS,Action Construction Equipment Limited
ACEINTEG,ACEINTEG.NS,Ace Integrated Solutions Limited
ACI,ACI.NS,Archean Chemical Industries Limited
ACL,ACL.NS,Andhra Cements Limited
ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited
ACSTECH,ACSTECH.NS,ACS Technologies Limited
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Limited
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited
ADANIENT,ADANIENT.NS,Adani Enterprises Limited
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited
ADFFOODS,ADFFOODS.NS,ADF Foods Limited
ADL,ADL.NS,Archidply Decor Limited
ADOR,ADOR.NS,Ador Welding Limited
ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited
ADSL,ADSL.NS,Allied Digital Services Limited
ADVAIT,ADVAIT.NS,Advait Energy Transitions Limited
ADVANCE,ADVANCE.NS,Advance Agrolife Limited
ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADVENTHTL,ADVENTHTL.NS,Advent Hotels International Limited
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited
AEGISLOG,AEGISLOG.NS,Aegis Logistics Limited
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Limited
AEPL,AEPL.NS,Artemis Electricals and Projects Limited
AEQUS,AEQUS.NS,Aequs Limited
AEROENTER,AEROENTER.NS,Aeroflex Enterprises Limited
AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited
AERONEU,AERONEU.NS,Aeroflex Neu Limited
AETHER,AETHER.NS,Aether Industries Limited
AFCONS,AFCONS.NS,Afcons Infrastructure Limited
AFFLE,AFFLE.NS,Affle 3i Limited
AFFORDABLE,AFFORDABLE.NS,Affordable Robotic & Automation Limited
AFIL,AFIL.NS,Akme Fintrade (India) Limited
